Títulos,Nota,Sinopses,Temporada,Episódio,Franquia
Superfan Makeover,7.5,"The queens kiki with their superfan makeover partners. Daisy Ridley drops in from a galaxy far, far away to share her Jedi wisdom with the queens.",12,10,Drag Race Untucked
One-Queen Show,7.5,The queens discuss the ins and outs of their One-Queen Shows. They have an entirely new view on things when Whoopi Goldberg stops by to bestow the queens with sage advice and words of encouragement.,12,11,Drag Race Untucked
Viva Drag Vegas,7.4,The queens untuck and discuss what they've learned about themselves. It's bittersweet as they reminisce on their final moments in the competition and consider the possibilities of what might lie ahead for them.,12,12,Drag Race Untucked
The Pork Chop,7.4,"After the queens kick off Season 13 with a series of lip sync battles, Tamisha Iman reveals why she dropped out of Season 12, and Symone discusses the inspiration behind her entrance lewk.",13,1,Drag Race Untucked
Condragulations,7.5,"After the queens perform ""Condragulations,"" Kandy Muse gets emotional over her critiques, Elliott with 2 Ts reflects on her journey, and Gottmik comes out to the group as transmasculine.",13,2,Drag Race Untucked
Phenomenon,7.5,"After the queens perform ""Phenomenon,"" Utica learns why some of the girls wanted to eliminate her, and Kahmora Hall gets emotional while sharing her coming-out story.",13,3,Drag Race Untucked
RuPaulmark Channel,7.4,"After the queens star in Hallmark Channel-inspired movies, Kahmora Hall gets emotional about her critiques, and Kandy Muse gives unsolicited feedback on another girl's performance.",13,4,Drag Race Untucked
The Bag Ball,9.1,"After the Bag Ball, some of the safe queens question the tops, Kandy Muse offers up (more) unsolicited advice to Elliott with 2 Ts, and Tamisha Iman gets blunt about her competition.",13,5,Drag Race Untucked
Disco-Mentary,7.8,"After the queens' disco performances, Rose opens up about her frustrations in the competition, Gottmik gets emotional watching a message from her parents, and two one-time rivals make peace.",13,6,Drag Race Untucked
Bossy Rossy Ruboot,7.2,"After the queens' trashy talk show improv challenge, Denali expresses frustration at not being in the top once again, and Kandy Muse gives Elliott with 2 Ts a pep talk.",13,7,Drag Race Untucked
Social Media: The Unverified Rusical,7.4,"After the queens star in a social media-themed musical, Olivia Lux does a backstage ruveal, Rose and Denali clear the air after fighting over a role, and the bottoms prepare for battle.",13,8,Drag Race Untucked
Snatch Game,7.4,"The queens weigh in on each other's Snatch Game performances, Olivia Lux and Rose question Utica's unflattering off-camera behavior, and Ts Madison drops by for a pep talk.",13,9,Drag Race Untucked
Freaky Friday Queens,7.7,"After the makeover challenge, the queens vent over having to call out one of their sisters, Denali and Olivia Lux get emotional at the idea of leaving, and Kandy Muse gets a moving message.",13,10,Drag Race Untucked
Pop! Goes the Queens,7.4,"After a soda branding challenge, Olivia Lux admits she feels overlooked, the queens reveal their top competition, and Tina Burner gets a message from her mom.",13,11,Drag Race Untucked
Nice Girls Roast,7.5,"After the roast challenge, Gottmik reflects on her growth in the competition, and former Miss Congeniality winners Nina West, Valentina and Heidi N Closet drop in to chat with the queens.",13,12,Drag Race Untucked
"Henny, I Shrunk The Drag Queens!",7.3,"After their star turns in a sci-fi spoof, Olivia Lux feels the sting of the other queens' critiques, Kandy Muse needs medical attention, and Cynthia Erivo pops in to chat with the girls.",13,13,Drag Race Untucked
Gettin' Lucky,7.6,"After performing in the season's last challenge, the queens react to seeing their baby photos and addressing their younger selves, and Rose and Symone receive messages of support from home.",13,14,Drag Race Untucked
Big Opening No. 1,7.8,"After the queens perform in a talent show, Kornbread ""The Snack"" Jeté basks in guest judge Lizzo's praise, Alyssa Hunter gets emotional, and June Jambalaya prepares for the worst.",14,1,Drag Race Untucked
Big Opening No. 2,7.8,"After performing in a talent show, Lady Camden offers DeJa Skye words of encouragement, Jasmine Kennedie reflects on growing up gay, and Maddy Morphosis unpacks straight allyship.",14,2,Drag Race Untucked
A Pair of Balls,7.9,"After the ball challenge, Orion Story feels the tension talking about her return, Jasmine Kennedie and Jorgeous offer their blunt opinions, and June Jambalaya gets in her feelings.",14,3,Drag Race Untucked
She's a Super Tease,7.6,"After the queens star in tease trailers for the show, Kornbread ""The Snack"" Jeté shuts down Jasmine Kennedie's shady question, and Kerri Colby opens up about Michelle Visage's feedback.",14,4,Drag Race Untucked
Save a Queen,8.4,"Daya Betty gets frustrated with being safe once again, past queens kiki after returning to the show for a special challenge, and Kornbread ""The Snack"" Jeté leaves goodbye letters.",14,5,Drag Race Untucked
Glamazon Prime,9.0,"After the Glamazon Prime design challenge, Daya Betty sets her sights on a win, Maddy Morphosis and Jasmine Kennedie spar over a possible lip sync, and Taraji P. Henson visit the queens.",14,6,Drag Race Untucked
The Daytona Wind,9.5,"The competition strengthens the bonds between the queens. Guest Ts Madison stops by for a little sisterly advice, and one queen reveals a truth she can't keep hidden any longer.",14,7,Drag Race Untucked
60s Girl Groups,8.0,"After embodying iconic 60s girl groups, the queens recall their favorite reads, Willow Pill talks openly about gender identity, and Jasmine Kennedie expresses her admiration for Kerri Colby.",14,8,Drag Race Untucked
Menzeses,8.4,"After the DragCon discussion panel challenge, the queens rally around a dejected Jorgeous, Angeria gets an uplifting message from home, and Nicole Byer stops by for some tea.",14,9,Drag Race Untucked
Snatch Game,0,"Know what this is about?
 Be the first one to add a plot.",14,10,Drag Race Untucked
Top 10 Countdown,5.4,"Get ready for an All Stars season of RuPaul's Drag Race. Take a look back at the top looks, RuPhemisms and shade moments from seasons past!",1,0,All Stars
It Takes Two,7.1,The queens have to produce high fashion editorial photo spreads.,1,1,All Stars
RuPaul's Gaff-In,6.3,"In the mini challenge, the contestants play a question & answer game (""Newlywed Game"" style). For the main challenge, they must write original comedy and perform celebrity impersonations for a ""Rowan & Martin's Laugh-In"" style sketch show.",1,2,All Stars
Queens Behaving Badly,7.3,"In the mini challenge, the contestants took sexy ""butch male realness"" self portraits. For the main challenge, they hit the streets individually (with partner via earpiece) to coerce strangers to partake in goofy pranks in broad daylight.",1,3,All Stars
All Star Girl Groups,7.4,"For the mini challenge, the contestants ""read"" the other queens as cheerleaders (""cheer reading""). For the main challenge, they teamed up with the children of celebrities to form all star girl groups and perform together on the main stage.",1,4,All Stars
Dynamic Drag Duos,7.5,The final four assume super hero and super foe alter egos and go to epic heights to vanquish their nemesis.,1,5,All Stars
The Grand Finale,7.5,"For the final challenge, RuPaul sends her All Stars on a whirlwind junket that culminates with a stand-up routine at L.A.'s famous Comedy Store.",1,6,All Stars
All Star Talent Show Extravaganza,9.4,"10 queens return to compete for $100,000 and a place in the Drag Race Hall of Fame. The first test is to compete in a drag talent show. With guest judge Raven-Symoné.",2,1,All Stars
All Stars Snatch Game,9.2,The queens impersonate celebrities in a quick-witted TV game show and burn rubber in a latex runway. With guest judge Ross Mathews.,2,2,All Stars
HERstory of the World,8.7,The queens are challenged to perform in a lip-syncing dance number inspired by the legendary historical women. Fashion designer Jeremy Scott guest judges.,2,3,All Stars
Drag Movie Shequels,8.6,The queens' acting chops are tested in parody movie sequels of RuPaul's favorite movies. Pussycat Doll Nicole Scherzinger guest judges.,2,4,All Stars
Revenge of the Queens,9.6,The queens must perform a live stand-up comedy act in front of an audience of judgmental drag queens. Ross Mathews returns to guest judge.,2,5,All Stars
Drag Fish Tank,8.1,"The queens design and market drag-influenced products. Entrepreneur Marcus Lemonis (CNBC's The Profit) co-stars, and comedian Graham Norton guest judges.",2,6,All Stars
Family That Drags Together,8.3,The queens must makeover family members and vogue the house down. Aubrey Plaza (Parks and Recreation) guest judges.,2,7,All Stars
All Stars Supergroup,8.9,"The winner of RuPaul's Drag Race All Stars is crowned. But first, the queens must write original rap lyrics and perform as the ultimate girl group.",2,8,All Stars
Reunited!,8.1,"The All Star queens reunite to dish about the most shocking, glamorous and sickening moments of the season. Hosted by the Emmy Award winning RuPaul.",2,9,All Stars
All Star Queen Ruveal,7.7,Rupaul introduces the 9 new queens in an hour long special. With a special appearance by Chaka Khan.,3,0,All Stars
All Star Variety Show,8.7,"A mystery 10th queen joins the nine All Stars competing for $100,000 and a place in the Drag Race Hall of Fame. The first test is to compete in a drag variety show.",3,1,All Stars
Drag Divas Live,7.6,The queens go full diva in a lip-syncing dance number inspired by the classic TV special VH1 Divas Live.,3,2,All Stars
The Bitchelor,8.7,The queens' improvisation skills are tested in an unscripted dating show. Constance Zimmer and Jeffrey Bowyer-Chapman guest judge.,3,3,All Stars
Snatch Game: All Stars Edition,7.6,"The queens impersonate celebrities in a quick-witted TV game show. Fashion designer Marc Jacobs stops by the workroom, while Kristin Chenoweth and Nicole Byer guest judge.",3,4,All Stars
Pop Art Ball,6.5,"The queens design wearable soup cans inspired by Andy Warhol, and create Studio 54 disco looks. Tituss Burgess and Shay Mitchell guest judge.",3,5,All Stars
Handmaids to Kitty Girls,8.2,"The eliminated queens return to the competition for revenge. But first the queens must audition for RuPaul's new girl group, the Kitty Girls. Spice Girl Emma Bunton (""Baby Spice"") and Adam Lambert guest judge.",3,6,All Stars
My Best Squirrelfriend's Dragsmaids Wedding Trip,6.6,"The queens' acting chops are tested in a raunchy girl comedy blockbuster. Democratic Leader Nancy Pelosi stops by the workroom, while Chris Colfer (""Glee"") and Garcelle Beauvais (""The Jamie Foxx Show"") guest judge.",3,7,All Stars
A Jury of Their Queers,4.2,"The queens must write and perform a rap on RuPaul's new hit single ""Kitty Girl"", and attempt an unparalleled one-take choreography performance. But before a winner can be crowned, RuPaul invites the eliminated queens to weigh in.",3,8,All Stars
All Star Super Queen Variety Show,8.2,"Two queens from a previous All Stars season return to the race along with eight new queens in a race towards $100,000 and a spot in the Drag Race Hall of Fame. The queens must entertain LGBTQ veterans in a Variety Show.",4,1,All Stars
"Super Girl Groups, Henny",8.5,RuPaul's Drag Race Season 3 contestant Stacy Layne Matthews returns for a musical collaboration with the queens of All Stars Season 4.,4,2,All Stars
Snatch Game of Love,8.1,"In the Snatch Game of Love, the queens must stay in character as they bewitch, bother and bewilder a celebrity bachelor.",4,3,All Stars
Jersey Justice,8.0,"The queens parody a courtroom reality show, improvising with Michelle Visage as New Jersey litigants.",4,4,All Stars
Roast in Peace,8.5,The queens must roast Rupaul's friend and drag veteran Lady Bunny.,4,5,All Stars
LaLaPaRUza,8.6,The eliminated queens are back for a chance to re-enter to the competition through a lip sync battle extravaganza.,4,6,All Stars
Queens of Clubs,7.4,The All Stars are challenged to design and host their own VIP club nights. Extra special guest judges: Rita Ora and NYC Nightlife legend Susanne Bartsch.,4,7,All Stars
RuPaul's Best Judy's Race,4.0,"The queens makeover their ""Best Judies"" in this Judy Garland inspired challenge.",4,8,All Stars
Sex and the Kitty Girl,3.8,The All Stars star in a movie sequel centered on the sex lives of NYC singles and the actresses who play them. Extra special guest judges: Designer Jason Wu and Felicity Huffman.,4,9,All Stars
Super Queen Grand Finale,3.3,The All Stars star in RuPaul's music video Super Queen. RuPaul crowns a winner!,4,10,All Stars
All Star Variety Extravaganza,8.8,"All Stars headlining in the Werq The World variety extravaganza showcasing charisma, uniqueness, nerve and talent.",5,1,All Stars
I'm in Love!,8.0,"The All Stars form 3 competing girl groups to compose lyrics, choreography, and perform the new, pop crush anthem ""I'm In Love!"" Guest judges Tessa Thompson and Madison Beer join the love-fest.",5,2,All Stars
Get a Room!,6.1,The All Stars dive into the world of celebrity branding as they design their own boutique hotel suite experiences.,5,3,All Stars
She-MZ,6.4,"The All Stars get overexposed as they improv their way through celebrity scandals, getting caught in the act by the tabloid TV team from SheMZ! Modern Family's Sarah Hyland joins the judges panel to weigh in.",5,4,All Stars
Snatch Game of Love (2020),8.8,"The All Stars impersonate their favourite celebrities to play the ""Snatch Game of Love"". With guest judges Jeffrey Bowyer-Chapman and Tommy Dorfman.",5,5,All Stars
The Charles Family Backyard Ball,7.3,"The All Stars fire up the grill and join RuPaul's family for the Charles Backyard Ball - while serving two sizzling looks! Pop star Bebe Rexha joins the party, along with RuPaul's sisters Rozy and Renae.",5,6,All Stars
Stand-Up Smackdown,7.6,The All Stars flex their funny bones in a stand-up comedy challenge in front of a live studio audience! Guest judges Sam Richardson and funny lady Jane Krakowski join the laughs.,5,7,All Stars
Clap Back!,7.9,"For the final challenge before snatching a crown and a spot in the Drag Race Hall of Fame, the top all-stars must write, record, and perform a verse of RuPaul's new single ""Clap Back.""",5,8,All Stars
Meet the Queens,8.4,Pre-series episode to welcome and introduce the queens of RuPaul's Drag Race All Stars Seasons 6,6,0,All Stars
All Star Variety Extravaganza,8.0,"The Queens of All Stars 6 are back to compete for a spot in the Drag Race Hall of Fame. To kick off the competition, the dolls showcase their best talents on the Main Stage. Plus, the iconic Miss Piggy pops by to prove that reading IS fundamental.",6,1,All Stars
The Blue Ball,8.4,The All Stars storm the runway in their bold and blue-tiful best - in the Blue Ball. Guest Judge Big Freedia helps decide whose design will earn a blue ribbon.,6,2,All Stars
Side Hustles,9.3,"Even the best queen needs a side hustle, so the All Stars must create commercials to sell their services. Tia Mowry joins as guest judge.",6,3,All Stars
Halftime Headliners,8.7,Fireworks fly as the All Stars celebrate and impersonate their favorite divas in an epic halftime show. Jamal Sims whips the dolls into shape as guest choreographer and judge.,6,4,All Stars
Pink Table Talk,7.3,"The All Stars serve up piping hot tea as hosts of an up close and personal talk show, Pink Table Talk. Guest Judge Aisha Tyler stops by to join the kiki.",6,5,All Stars
Rumerican Horror Story: Coven Girls,7.2,"Who is the baddest witch of all? Find out as the All Stars showcase their acting chops in this spooky spoof. Superstar Angela Bassett offers bewitching advice, and Guest Judge Emma Roberts stops by to cast a spell of her own.",6,6,All Stars
Show Up Queen,8.4,"Drag and activism come together as the All Stars record and perform an inspiring anthem: ""Show Up Queen!"" Designer extraordinaire Zaldy brings his eye for fashion to the judging panel.",6,7,All Stars
Snatch Game of Love,8.4,The All Stars serve up their best celebrity impressions in a dating show version of the Snatch Game. Who's getting lucky? Guest judges Fortune Feimster and Cheyenne Jackson search for their perfect snatch match; superstar designer Ms. Tina Knowles- Lawson joins on the mainstage.,6,8,All Stars
Drag Tots,7.3,"The All Stars turn themselves into magical characters fit for the hit animated series, Drag Tots. Guest Judge Charli XCX stops by for this fierce foray into fantasy and fun.",6,9,All Stars
Rudemption Lip-Sync Smackdown,9.1,The eliminated queens are back to compete in an epic Lip Sync Smackdown and a chance to return to the competition.,6,10,All Stars
"The Charisma, Uniqueness, Nerve and Talent Monologues",7.2,The All Stars take the stage to share hilarious and heartwarming true stories in a performance challenge that decides who makes it to the Grand Finale. Actors Jermaine Fowler and Alec Mapa coach the queens; writer/director Justin Simien joins the judges' panel.,6,11,All Stars
This Is Our Country,7.3,"Who will take home the crown? A spot in the Drag Race Hall of Fame is at stake as the finalists write, record, and perform verses to RuPaul's new song This is Our Country, featuring country music legend Tanya Tucker.",6,12,All Stars
It Takes Two,8.7,Everybody gets riled up when one of the queens storms off after harsh critiques from her peers.,1,1,All Stars Untucked
RuPaul's Gaff-In,7.5,Everybody gets surprised by a video message that leave many of the queens emotional.,1,2,All Stars Untucked
Queens Behaving Badly,7.8,The remaining all stars bicker backstage about comments that were made on the runway.,1,3,All Stars Untucked
All Star Girl Groups,7.5,The remaining all stars are greeted by their fellow band mates in the Untucked lounge.,1,4,All Stars Untucked
Dynamic Drag Duos,7.7,The remaining two teams get an earful from one queen until they get surprise questions from fans.,1,5,All Stars Untucked
The Grand Finale,7.4,The judges deliberate while the final four queens have a sit down with Mama Ru.,1,6,All Stars Untucked
All Star Variety Extravaganza,7.3,The queens discuss how they really feel about the new All Stars rules and voting to send each other home. One queen feels the wrong doll is in the bottom two and struggles with her vote. Let the drama begin with the comeback of Untucked for All Stars 5!,2,1,All Stars Untucked
I'm in Love!,6.9,A kiki between the safe queens gets uncomfortable. A legendary Lip-Sync Assassin spies on the dolls before she hits the stage.,2,2,All Stars Untucked
Get a Room!,7.1,"This week's top All Star and her safe sisters lean on each other, as they share personal life stories. Michelle Visage pops in on this week's eliminated queen.",2,3,All Stars Untucked
SheMZ,7.3,The safe queens break down the other queens' performances and wonder about their strategies in the competition. The Lip-Sync Assassin visits her best friend in the Werk Room.,2,4,All Stars Untucked
Snatch Game of Love,7.4,"After a lively Snatch Game of Love, the queens return to the Werk Room to Untuck. When one queen drops a bombshell, her sisters struggle to connect the dots.",2,5,All Stars Untucked
The Charles Family Backyard Ball,7.7,"After a family barbecue-themed ball, RuPaul and her sisters kiki, questions linger about whether Alexis Mateo campaigned against Shea Coulee, and a lip sync assassin returns.",2,6,All Stars Untucked
Stand-Up Smackdown,7.5,"After stumbling in the stand-up comedy challenge, one queen tries to figure out what went wrong. And the queens are all in their feelings as this week's vote proves to be the most difficult of all.",2,7,All Stars Untucked
Clap Back!,7.6,All of the All Stars are back to dish about the season and cheer on their favorites as the top 3 fight for a spot in the Drag Race Hall of Fame.,2,8,All Stars Untucked
All Star Variety Extravaganza,7.5,"Back in the Werkroom, after a glittering All Stars Variety Show, the queens reunite for the first time to untuck and spill the T. They anticipate the upcoming season which promises to be legendary, right out of the gate.",3,1,All Stars Untucked
The Blue Ball,7.7,"After the first elimination the pressure is already on, the queens untuck and kiki about which All Star was the belle of the Ball and who dropped the ball altogether. They discuss voting strategies, and a friendship is put to the ultimate test.",3,2,All Stars Untucked
Side Hustles,7.9,"The All Stars untuck and open up about the toughest elimination yet. Two past season sisters confront an old grudge, can they reinvest in a future of renewed drag sisterhood?",3,3,All Stars Untucked
Halftime Headliners,7.2,"After an All Star studded stadium halftime show, the queens untuck and dish on their experiences from celebrities to go-go boys. Everyone slayed in the spotlight, but despite the lovefest, one queen must still Sashay Away.",3,4,All Stars Untucked
Pink Table Talk,7.5,"The All Stars can make opposing patterns mesh, but it doesn't mean their personalities will mesh too. The voting process has tensions flaring and certain queens struggle to cool down and get out of their heads, but the Tea just keeps flowing.",3,5,All Stars Untucked
Rumerican Horror Story: Coven Girls,7.0,"Here today, but Goth tomorrow, the Queens untuck and kiki about who was the most horrifying of them all. One queen finally spooks the love out of the judges, while another is haunted by the past.",3,6,All Stars Untucked
Show Up Queen,7.2,"Our All Stars untuck to spill the Tea, honey, about their personal connection to the legendary RuPaul herself. They gag over how Ru has affected their lives in and out of the werkroom. The Tea is spilled and the shenanigans are brought.",3,7,All Stars Untucked
Snatch Game of Love,7.1,"The All Stars untuck, kiki and sip some well-deserved bubbly to celebrate the Pop Art of it all. As the competition narrows, jaws are dropped and dream bubbles get popped.",3,8,All Stars Untucked
Drag Tots,7.3,"After tooning out in the Drag Tots challenge, the final 5 queens are spilling all the hot Tea. When Ru makes the rules you never know what you're gonna get except for twisted. So don't get caught without your wig on.",3,9,All Stars Untucked
Rudemption Lip-Sync Smackdown,8.1,"The Big Ruveal has the All Stars Queens gagging on a twist none of them saw coming, but there's still time for final tête-à-têtes in the spirit of All Stars Drag sisterhood.",3,10,All Stars Untucked
"The Charisma, Uniqueness, Nerve and Talent Monologues",7.2,"One All Star proved herself by fighting her way back into the competition, but can she Shantay and stay? Heading into the battle of a Fierce Final Four means it's time to untuck and leave it all on the runway.",3,11,All Stars Untucked
This Is Our Country,7.2,The Final Four All Stars reflect upon their growth. It's time for all but one legendary All Star to untuck and pack it all up in this Untucked finale.,3,12,All Stars Untucked
All Star Variety Extravaganza,7.5,"Back in the Werkroom, after a glittering All Stars Variety Show, the queens reunite for the first time to untuck and spill the T. They anticipate the upcoming season which promises to be legendary, right out of the gate.",3,1,All Stars Untucked
The Blue Ball,7.7,"After the first elimination the pressure is already on, the queens untuck and kiki about which All Star was the belle of the Ball and who dropped the ball altogether. They discuss voting strategies, and a friendship is put to the ultimate test.",3,2,All Stars Untucked
Side Hustles,7.9,"The All Stars untuck and open up about the toughest elimination yet. Two past season sisters confront an old grudge, can they reinvest in a future of renewed drag sisterhood?",3,3,All Stars Untucked
Halftime Headliners,7.2,"After an All Star studded stadium halftime show, the queens untuck and dish on their experiences from celebrities to go-go boys. Everyone slayed in the spotlight, but despite the lovefest, one queen must still Sashay Away.",3,4,All Stars Untucked
Pink Table Talk,7.5,"The All Stars can make opposing patterns mesh, but it doesn't mean their personalities will mesh too. The voting process has tensions flaring and certain queens struggle to cool down and get out of their heads, but the Tea just keeps flowing.",3,5,All Stars Untucked
Rumerican Horror Story: Coven Girls,7.0,"Here today, but Goth tomorrow, the Queens untuck and kiki about who was the most horrifying of them all. One queen finally spooks the love out of the judges, while another is haunted by the past.",3,6,All Stars Untucked
Show Up Queen,7.2,"Our All Stars untuck to spill the Tea, honey, about their personal connection to the legendary RuPaul herself. They gag over how Ru has affected their lives in and out of the werkroom. The Tea is spilled and the shenanigans are brought.",3,7,All Stars Untucked
Snatch Game of Love,7.1,"The All Stars untuck, kiki and sip some well-deserved bubbly to celebrate the Pop Art of it all. As the competition narrows, jaws are dropped and dream bubbles get popped.",3,8,All Stars Untucked
Drag Tots,7.3,"After tooning out in the Drag Tots challenge, the final 5 queens are spilling all the hot Tea. When Ru makes the rules you never know what you're gonna get except for twisted. So don't get caught without your wig on.",3,9,All Stars Untucked
Rudemption Lip-Sync Smackdown,8.1,"The Big Ruveal has the All Stars Queens gagging on a twist none of them saw coming, but there's still time for final tête-à-têtes in the spirit of All Stars Drag sisterhood.",3,10,All Stars Untucked
"The Charisma, Uniqueness, Nerve and Talent Monologues",7.2,"One All Star proved herself by fighting her way back into the competition, but can she Shantay and stay? Heading into the battle of a Fierce Final Four means it's time to untuck and leave it all on the runway.",3,11,All Stars Untucked
This Is Our Country,7.2,The Final Four All Stars reflect upon their growth. It's time for all but one legendary All Star to untuck and pack it all up in this Untucked finale.,3,12,All Stars Untucked
All Star Variety Extravaganza,7.5,"Back in the Werkroom, after a glittering All Stars Variety Show, the queens reunite for the first time to untuck and spill the T. They anticipate the upcoming season which promises to be legendary, right out of the gate.",3,1,All Stars Untucked
The Blue Ball,7.7,"After the first elimination the pressure is already on, the queens untuck and kiki about which All Star was the belle of the Ball and who dropped the ball altogether. They discuss voting strategies, and a friendship is put to the ultimate test.",3,2,All Stars Untucked
Side Hustles,7.9,"The All Stars untuck and open up about the toughest elimination yet. Two past season sisters confront an old grudge, can they reinvest in a future of renewed drag sisterhood?",3,3,All Stars Untucked
Halftime Headliners,7.2,"After an All Star studded stadium halftime show, the queens untuck and dish on their experiences from celebrities to go-go boys. Everyone slayed in the spotlight, but despite the lovefest, one queen must still Sashay Away.",3,4,All Stars Untucked
Pink Table Talk,7.5,"The All Stars can make opposing patterns mesh, but it doesn't mean their personalities will mesh too. The voting process has tensions flaring and certain queens struggle to cool down and get out of their heads, but the Tea just keeps flowing.",3,5,All Stars Untucked
Rumerican Horror Story: Coven Girls,7.0,"Here today, but Goth tomorrow, the Queens untuck and kiki about who was the most horrifying of them all. One queen finally spooks the love out of the judges, while another is haunted by the past.",3,6,All Stars Untucked
Show Up Queen,7.2,"Our All Stars untuck to spill the Tea, honey, about their personal connection to the legendary RuPaul herself. They gag over how Ru has affected their lives in and out of the werkroom. The Tea is spilled and the shenanigans are brought.",3,7,All Stars Untucked
Snatch Game of Love,7.1,"The All Stars untuck, kiki and sip some well-deserved bubbly to celebrate the Pop Art of it all. As the competition narrows, jaws are dropped and dream bubbles get popped.",3,8,All Stars Untucked
Drag Tots,7.3,"After tooning out in the Drag Tots challenge, the final 5 queens are spilling all the hot Tea. When Ru makes the rules you never know what you're gonna get except for twisted. So don't get caught without your wig on.",3,9,All Stars Untucked
Rudemption Lip-Sync Smackdown,8.1,"The Big Ruveal has the All Stars Queens gagging on a twist none of them saw coming, but there's still time for final tête-à-têtes in the spirit of All Stars Drag sisterhood.",3,10,All Stars Untucked
"The Charisma, Uniqueness, Nerve and Talent Monologues",7.2,"One All Star proved herself by fighting her way back into the competition, but can she Shantay and stay? Heading into the battle of a Fierce Final Four means it's time to untuck and leave it all on the runway.",3,11,All Stars Untucked
This Is Our Country,7.2,The Final Four All Stars reflect upon their growth. It's time for all but one legendary All Star to untuck and pack it all up in this Untucked finale.,3,12,All Stars Untucked
All Star Variety Extravaganza,7.5,"Back in the Werkroom, after a glittering All Stars Variety Show, the queens reunite for the first time to untuck and spill the T. They anticipate the upcoming season which promises to be legendary, right out of the gate.",3,1,All Stars Untucked
The Blue Ball,7.7,"After the first elimination the pressure is already on, the queens untuck and kiki about which All Star was the belle of the Ball and who dropped the ball altogether. They discuss voting strategies, and a friendship is put to the ultimate test.",3,2,All Stars Untucked
Side Hustles,7.9,"The All Stars untuck and open up about the toughest elimination yet. Two past season sisters confront an old grudge, can they reinvest in a future of renewed drag sisterhood?",3,3,All Stars Untucked
Halftime Headliners,7.2,"After an All Star studded stadium halftime show, the queens untuck and dish on their experiences from celebrities to go-go boys. Everyone slayed in the spotlight, but despite the lovefest, one queen must still Sashay Away.",3,4,All Stars Untucked
Pink Table Talk,7.5,"The All Stars can make opposing patterns mesh, but it doesn't mean their personalities will mesh too. The voting process has tensions flaring and certain queens struggle to cool down and get out of their heads, but the Tea just keeps flowing.",3,5,All Stars Untucked
Rumerican Horror Story: Coven Girls,7.0,"Here today, but Goth tomorrow, the Queens untuck and kiki about who was the most horrifying of them all. One queen finally spooks the love out of the judges, while another is haunted by the past.",3,6,All Stars Untucked
Show Up Queen,7.2,"Our All Stars untuck to spill the Tea, honey, about their personal connection to the legendary RuPaul herself. They gag over how Ru has affected their lives in and out of the werkroom. The Tea is spilled and the shenanigans are brought.",3,7,All Stars Untucked
Snatch Game of Love,7.1,"The All Stars untuck, kiki and sip some well-deserved bubbly to celebrate the Pop Art of it all. As the competition narrows, jaws are dropped and dream bubbles get popped.",3,8,All Stars Untucked
Drag Tots,7.3,"After tooning out in the Drag Tots challenge, the final 5 queens are spilling all the hot Tea. When Ru makes the rules you never know what you're gonna get except for twisted. So don't get caught without your wig on.",3,9,All Stars Untucked
Rudemption Lip-Sync Smackdown,8.1,"The Big Ruveal has the All Stars Queens gagging on a twist none of them saw coming, but there's still time for final tête-à-têtes in the spirit of All Stars Drag sisterhood.",3,10,All Stars Untucked
"The Charisma, Uniqueness, Nerve and Talent Monologues",7.2,"One All Star proved herself by fighting her way back into the competition, but can she Shantay and stay? Heading into the battle of a Fierce Final Four means it's time to untuck and leave it all on the runway.",3,11,All Stars Untucked
This Is Our Country,7.2,The Final Four All Stars reflect upon their growth. It's time for all but one legendary All Star to untuck and pack it all up in this Untucked finale.,3,12,All Stars Untucked
Meet the Queens,6.8,The queens meet for the first time before joining RuPaul who surprises them with an outrageous first photoshoot challenge. Hollywood actor Andrew Garfield joins Michelle Visage and Alan Carr on the judging panel.,1,0,UK
The Royal Queens,8.1,As 10 amazing UK drag queens enter the werk room for the first time the main stage lights up with them serving two royal looks for guest judge Andrew Garfield.,1,1,UK
Downton Draggy,7.6,"This week the queens' acting skills are put to the test as they star in a sumptuous new comedy costume drama: ""Downton Draggy"". ""Game of Thrones"" star Maisie Williams is a guest judge.",1,2,UK
Posh on a Penny,8.1,"This week RuPaul tests the queens' sewing skills and fashion sense, as they are challenged to create show-stopping outfits from junk found at a car boot sale. With Dame Twiggy, Michelle Visage and Graham Norton.",1,3,UK
Snatch Game,8.8,"The queens perform in a breathtaking royal snatch game and serve up their best science-fiction inspired runway look, with guest judge, Geri Horner.",1,4,UK
Girl Group Battle Royale,9.0,"This week the remaining 6 queens are split into 2 girl groups. With RuPaul,Michelle Visage,Graham Norton and Jade Thirwall on the judges panel",1,5,UK
Thirsty Werk,7.7,This week the queens' creative marketing skills are put to the test as they are asked to create an advert - and brand themselves,1,6,UK
Family That Drags Together,7.8,"The makeover challenge has arrived! This week, the remaining four queens must make over their mums and sisters as a member of their drag family in their final effort to impress RuPaul and the judges before the grand finale.",1,7,UK
Grand Finale,7.7,RuPaul crowns UK's very first Drag Race Superstar.,1,8,UK
